[22:42:19.557] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.567] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.587] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.607] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.617] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.637] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.656] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.666] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.686] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.706] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.717] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.737] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.757] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.767] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.787] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.807] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.817] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.837] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.856] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.867] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.887] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.906] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.917] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.936] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.957] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.967] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:19.986] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.006] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.016] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.036] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.056] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.066] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.086] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.106] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.116] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.137] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.157] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.167] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.186] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.207] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.217] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:20.237] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.767] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.787] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.806] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.817] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.836] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.857] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.867] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.887] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.907] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.917] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.936] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.956] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.966] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:21.987] [INFO] [APP] Collision detected between entity 2 and 1
